"GHCN_ID","Start_yr","End_yr","Yr_count","HofX","HofY","HofXY","HXofY","s","t","P","C","M","CbyP","MbyP","Mutual","GC","C_freedom","GM","M_freedom","GP","P_freedom"
"PP000092014",1951,2003,53,0.602059991327962,0.27542843035887,0.868836161063298,0.266776169735336,10,4,0.733223830264664,0.72457156964113,0.00865226062353375,0.988199700737481,0.0118002992625194,0.00865226062353375,859.514424957315,9,3.66855850437831,27,863.182983461693,36
"PP000092035",1970,2003,34,0.602059991327962,0.483215751842023,1.00117384535519,0.399113854027232,10,4,0.600886145972768,0.516784248157977,0.0841018978147903,0.86003688322912,0.13996311677088,0.0841018978147904,494.86846079335,9,22.875716205623,27,517.744176998973,36
"PP000092044",1968,2003,36,0.602059991327962,0.24174867859424,0.829548016567898,0.227488025239936,10,4,0.772511974760064,0.75825132140576,0.0142606533543047,0.981539893464132,0.0184601065358682,0.0142606533543047,593.520887347144,9,4.10706816603976,27,597.627955513184,36
"RP000098232",1951,2017,67,0.602059991327962,0.423135669519187,0.788080216785857,0.186020225457895,10,4,0.813979774542105,0.576864330480813,0.237115444061292,0.708696147647306,0.291303852352693,0.237115444061292,1007.38489098252,9,127.093878016853,27,1134.47876899938,36
"RP000098836",1951,2017,67,0.602059991327962,0.384481352806968,0.945134355773809,0.343074364445846,10,4,0.656925635554154,0.615518647193032,0.0414069883611216,0.936968530195671,0.0630314698043294,0.0414069883611216,1028.10360474027,9,22.1941457615612,27,1050.29775050184,36
"RP000098851",1951,2017,67,0.602059991327962,0.402095460369192,0.978413167673076,0.376353176345113,10,4,0.623646823654887,0.597904539630808,0.0257422840240784,0.958722977416584,0.041277022583416,0.0257422840240783,1018.66244308692,9,13.797864236906,27,1032.46030732383,36
"RP000982230",1951,2017,67,0.602059991327962,0.462556514927119,0.762832715156508,0.160772723828546,10,4,0.839227276171454,0.537443485072881,0.301783791098573,0.640402785196273,0.359597214803727,0.301783791098573,986.255317843873,9,161.756112028835,27,1148.01142987271,36
"RPC00914100",1953,1991,39,0.602059991327962,0.599700859588641,0.991894063900534,0.389834072572572,10,4,0.610165927427428,0.400299140411359,0.209866787016068,0.656049645543294,0.343950354456706,0.209866787016068,531.299880822486,9,65.4784375490133,27,596.7783183715,36
"RPW00041207",1949,1967,19,0.602059991327962,0.562217216229449,0.919123737875651,0.317063746547689,10,4,0.682936253452311,0.437782783770551,0.24515346968176,0.641030230211846,0.358969769788154,0.24515346968176,264.535917268219,9,37.2633273916276,27,301.799244659846,36
"RSM00022292",1923,2017,95,0.602059991327962,0.917437447626244,1.02961687781071,0.427556886482747,10,4,0.572443113517253,0.0825625523737556,0.489880561143497,0.144228396541392,0.855771603458607,0.489880561143497,1052.71221047953,9,372.309226469058,27,1425.02143694859,36
